MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2_Emissions
2018,AUDI,TTS COUPE,SUBCOMPACT,2,4,AM6,Z,10.3,8.6,9.5,30,222
2018,BENTLEY,BENTAYGA,SUV - STANDARD,6,12,AS8,Z,18.8,12.2,15.9,18,370
2018,BENTLEY,CONTINENTAL GT CONVERTIBLE,COMPACT,6,12,AS8,Z,20.4,12,16.6,17,389
2018,BENTLEY,CONTINENTAL SUPERSPORTS,COMPACT,6,12,AS8,Z,20.4,12,16.6,17,389
2018,BENTLEY,FLYING SPUR,MID-SIZE,4,8,AS8,Z,18.8,10.7,15.1,19,353
2018,BENTLEY,FLYING SPUR,MID-SIZE,6,12,AS8,Z,20.4,12,16.6,17,389
2018,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,20.9,13,17.3,16,405
2018,BMW,230i COUPE,SUBCOMPACT,2,4,AS8,Z,9.8,6.8,8.4,34,197
2018,BMW,230i COUPE,SUBCOMPACT,2,4,M6,Z,11.1,7.3,9.4,30,219
2018,BMW,230i xDRIVE CABRIOLET,SUBCOMPACT,2,4,AS8,Z,10.2,7.2,8.9,32,208
2018,BMW,230i xDRIVE COUPE,SUBCOMPACT,2,4,AS8,Z,9.9,7.1,8.6,33,202
2018,BMW,328d xDRIVE,COMPACT,2,4,AS8,D,7.8,5.9,7,40,184
2018,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2,4,AS8,D,7.8,5.9,7,40,184
2018,BMW,330i xDRIVE,COMPACT,2,4,AS8,Z,10.2,7.2,8.9,32,208
2018,BMW,330i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,AS8,Z,10.2,7.2,8.9,32,208
2018,BMW,330i xDRIVE TOURING,STATION WAGON - SMALL,2,4,AS8,Z,10.2,7.2,8.9,32,208
2018,BMW,340i,COMPACT,3,6,AS8,Z,9.2,6.2,7.8,36,183
2018,BMW,340i,COMPACT,3,6,M6,Z,12.1,8.1,10.3,27,240
2018,BMW,340i xDRIVE,COMPACT,3,6,AS8,Z,11.1,7.5,9.5,30,223
2018,BMW,340i xDRIVE,COMPACT,3,6,M6,Z,12.2,8.4,10.5,27,245
2018,BMW,340i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,AS8,Z,11.8,7.9,10,28,235
2018,BMW,430i xDRIVE CABRIOLET,SUBCOMPACT,2,4,AS8,Z,10.7,7.3,9.1,31,214
2018,BMW,430i xDRIVE COUPE,COMPACT,2,4,AS8,Z,10.2,7.2,8.9,32,208
2018,BMW,430i xDRIVE GRAN COUPE,COMPACT,2,4,AS8,Z,10.2,7.2,8.9,32,208
2018,BMW,440i COUPE,COMPACT,3,6,AS8,Z,9.2,6.2,7.8,36,183
2018,BMW,440i COUPE,COMPACT,3,6,M6,Z,12.1,8.1,10.3,27,240
2018,BMW,440i xDRIVE CABRIOLET,SUBCOMPACT,3,6,AS8,Z,11.8,7.9,10,28,235
2018,BMW,440i xDRIVE COUPE,COMPACT,3,6,AS8,Z,11.1,7.5,9.5,30,223
2018,BMW,440i xDRIVE COUPE,COMPACT,3,6,M6,Z,12.2,8.4,10.5,27,245
2018,BMW,440i xDRIVE GRAN COUPE,COMPACT,3,6,AS8,Z,11.1,7.5,9.5,30,223
2018,BMW,530i xDRIVE,MID-SIZE,2,4,AS8,Z,10.2,7.2,8.9,32,208
2018,BMW,540i xDRIVE,MID-SIZE,3,6,AS8,Z,11.6,8.1,10,28,236
2018,BMW,640i xDRIVE CABRIOLET,SUBCOMPACT,3,6,AS8,Z,12.3,8.4,10.5,27,248
2018,BMW,640i xDRIVE GRAN COUPE,COMPACT,3,6,AS8,Z,12.3,8.4,10.5,27,248
2018,BMW,640i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,AS8,Z,11.9,8.4,10.3,27,241
2018,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,AS8,Z,14.7,9.6,12.4,23,292
2018,BMW,650i xDRIVE COUPE,SUBCOMPACT,4.4,8,AS8,Z,14,10,12.2,23,286
2018,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Z,14.7,9.6,12.4,23,292
2018,BMW,750i xDRIVE,FULL-SIZE,4.4,8,AS8,Z,14.7,9.6,12.4,23,292
2018,BMW,750i xDRIVE SWB,FULL-SIZE,4.4,8,AS8,Z,14.3,9.4,12.1,23,283
2018,BMW,ALPINA B6 xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Z,14.7,9.6,12.4,23,292
2018,BMW,M2,SUBCOMPACT,3,6,AM7,Z,11.8,8.9,10.5,27,245
2018,BMW,M2,SUBCOMPACT,3,6,M6,Z,13.1,9.2,11.4,25,267
2018,BMW,M240i CABRIOLET,SUBCOMPACT,3,6,AS8,Z,10.9,7.7,9.5,30,222
2018,BMW,M240i CABRIOLET,SUBCOMPACT,3,6,M6,Z,12.7,8.7,10.9,26,255
2018,BMW,M240i COUPE,SUBCOMPACT,3,6,AS8,Z,10.9,7.7,9.5,30,222
2018,BMW,M240i COUPE,SUBCOMPACT,3,6,M6,Z,12.5,8.4,10.7,26,249
2018,BMW,M240i xDRIVE CABRIOLET,SUBCOMPACT,3,6,AS8,Z,11.2,7.8,9.7,29,227
2018,BMW,M240i xDRIVE COUPE,SUBCOMPACT,3,6,AS8,Z,11.2,7.8,9.7,29,227
2018,BMW,M3,COMPACT,3,6,AM7,Z,13.5,9.9,11.9,24,280
2018,BMW,M3,COMPACT,3,6,M6,Z,13.5,9.3,11.6,24,273
2018,BMW,M4 CABRIOLET,SUBCOMPACT,3,6,AM7,Z,14.5,10.5,12.7,22,299
2018,BMW,M4 CABRIOLET,SUBCOMPACT,3,6,M6,Z,13.8,9.4,11.9,24,280
2018,BMW,M4 COUPE,COMPACT,3,6,AM7,Z,13.5,9.9,11.9,24,280
2018,BMW,M4 COUPE,COMPACT,3,6,M6,Z,13.5,9.3,11.6,24,273
2018,BMW,M550i xDRIVE,MID-SIZE,4.4,8,AS8,Z,14.3,9.4,12.1,23,283
2018,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.6,14.7,19,344
2018,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,324
2018,BMW,M6 COUPE,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.6,14.7,19,344
2018,BMW,M6 COUPE,SUBCOMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,324
2018,BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.6,14.7,19,344
2018,BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,324
2018,BMW,M760i xDRIVE,FULL-SIZE,6.6,12,AS8,Z,17.7,11.9,15.1,19,355
2018,BMW,X1 xDRIVE28i,SUV - SMALL,2,4,AS8,Z,10.7,7.5,9.3,30,217
2018,BMW,X2 xDRIVE28i,SUV - SMALL,2,4,AS8,Z,11,7.7,9.5,30,222
2018,BMW,X3 xDRIVE30i,SUV - SMALL,2,4,AS8,Z,10.8,8,9.5,30,223
2018,BMW,X3 M40i,SUV - SMALL,3,6,AS8,Z,11.7,8.6,10.3,27,241
2018,BMW,X4 xDRIVE28i,SUV - SMALL,2,4,AS8,Z,11.8,8.6,10.3,27,240
2018,BMW,X4 M40i,SUV - SMALL,3,6,AS8,Z,12.9,9.5,11.4,25,266
2018,BMW,X5 xDRIVE35d,SUV - STANDARD,3,6,AS8,D,10.3,8,9.3,30,246
2018,BMW,X5 xDRIVE35i,SUV - STANDARD,3,6,AS8,Z,13,9.8,11.5,25,270
2018,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,15.4,11.2,13.5,21,317
2018,BMW,X5 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,19,341
2018,BMW,X6 xDRIVE35i,SUV - STANDARD,3,6,AS8,Z,13,9.8,11.5,25,270
2018,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,15.4,11.2,13.5,21,317
2018,BMW,X6 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,19,341
2018,BUGATTI,CHIRON,TWO-SEATER,8,16,AM7,Z,26.8,16.6,22.2,13,522
2018,BUICK,ENCLAVE,SUV - STANDARD,3.6,6,AS9,X,12.9,9,11.2,25,263
